Наименование,Изображение,Цена,Остаток,Упаковка,Описание,Заказ
Изолента ПВХ синяя 19*20 м 150 мкрн.,,"64,8",20,"Количество: 60 шт
Вес: 6 кг
Объем: 0.008 м",,
Изолента ПВХ черная 19*20 м 150 мкрн.,,"64,8",99,"Количество: 60 шт
Вес: 6 кг
Объем: 0.008 м",,
Клейкая лента (48ммх120мх40мкр),,"92,5",881,"Количество: 36 шт
Вес: 8.5 кг
Объем: 0.031 м","Ширина: 48мм
Длина: 120 м
Плотность: 40мкм (микрон)",
"Клейкая лента, малярная 48мм*50м*125мкрн.",,"133,3",2119,"Количество: 36 шт
Вес: 6.6 кг
Объем: 0.037 м","Ширина: 48мм
Длина: 50 м
Основная область применение малярной ленты - защита поверхностей при проведении штукатурных и малярных работ. Широко используется при покраске автомобилей. Активное применение креппа обусловлено его специфическим клеевым слоем. Клей обладает достаточно низкой прилипаемостью, и не оставляет следов после удаления ленты.
",
"Круги шлифовальные ЛидерТекс ( для зачистки ) 230х6х22,23 А 24 R BF 80 2 ( 5 шт)",,"94,1",20,"Количество: 5 шт
Вес: 2.8 кг
Объем: 0.0025 м","А - марка шлифовального материала (электрокорунд нормальный)
24 - зернистость шлифовального материала
R - степень твердости инструмента
BF - бакелитовая связка с упрочняющими элементами 	230 - наружний диаметр (мм)
6 - высота (толщина) круга (мм)
22,23 - диаметр посадочного отверстия (мм)
80 - предельная рабочая скорость (м/с), 	Кол-во шт. в коробке: 20
Вес коробки: 11,2кг
Размеры коробки: 235*465*65
Вес одного изделия: 0,166кг 	3 года 	Россия",
"Отрезной круг по металлу ЛидерТекс А24, 41, 230х1,6х22.23 А 40 S BF 80 2 мет+нерж.ех.(уп.10 шт)",,"41,4",50,"Количество: 10 шт
Вес: 1.58 кг
Объем: 0.000276 м",,
"Отрезной круг по металлу ЛидерТекс А24, 41, 230х2,5х22,23 А 30 S BF 80 2 мет+нерж.ех ex.(уп.10 шт)",,"44,8",130,"Количество: 10 шт
Вес: 2.14 кг
Объем: 0.000224 м",,
"Мешки для мусора 30 литров (45*55см, 8мкрн., рулон 30 шт.)",,"33,1",68,"Количество: 30 шт
Вес: 0.12 кг
Объем: 0.025 м","Пакеты для мусора изготовлены из ПНД (полиэтилен низкого давления). Подходят для уборки легких бытовых отходов, легкого пластика, упаковки.
Применение в домашнем использовании, в офисе, в производственных помещениях и государственных учреждениях (поликлиниках, школах, детских садах и пр.). 	Сырье: ПНД первый сорт
Объем 1 мешка 30 литров
Размер: 45см*55см ( +/- 1см )
Толщина: 8мкм (+/-3мкм )
Вес пакета: 0,3гр.
Цвет: черный 	Упаковка: рулон 30шт
Вес: 90гр (+/-1,7гр )
",
"Мешки для мусора 60 литров (57*68см, 10мкрн., рулон 50 шт.)",,"79,5",60,"Количество: 50 шт
Вес: 0.26 кг
Объем: 0.035 м","Пакеты для мусора должны быть изготовлены из ПНД (полиэтилен низкого давления). Подходят для уборки бытовых отходов, пластика, упаковки.
Применение в домашнем использовании, в офисе, в производственных помещениях и государственных учреждениях (поликлиниках, школах, детских садах и пр.). 	Сырье: ПНД первый сорт
Объем 1 мешка 60литров
Размер: 57см*68см ( +/- 1см )
Толщина: 10мкм (+/-3мкм )
Вес 1 мешка: 0,46гр (+/-гр )
Цвет: черный 	Упаковка: ролик 50шт
Вес рулона 225гр.",
"Мешки п/п, зеленые",,"8,1",20928,"Количество: 1000 шт
Вес: 36 кг
Объем: 0.11 м","Размеры 95*55 см, вес 45 гр
Материал: вторичный полипропилен
Назначение: Упаковка строительно и прочего мусора",
Мешки полипропиленовые Б/У,,"6,4",50,"Количество: 50 шт
Вес: 7.4 кг
Объем: 0.078 м",,
Мягкий контейнер Биг-Бэг. 95*95*130. 4 стропы.(уп. 25 шт),,463,4,"Количество: 1 шт
Вес: 1.6 кг
Объем: 0.01 м","Плотность 160. Верх открытый. Низ глухой. Упаковка 25 шт.
Биг-бэги изготовлены из рукавной полипропиленовой ткани. Также биг-бэги могут быть изготовлены из полипропиленовой ткани с нанесением слоя ламинации (как раз ламинация и есть полиэтилен), такие контейнеры крепче и не пропускают воду (ламинация заменяет вкладыш из полиэтилена), ну и вариант попроще это обычные биг-бэги которые вы уже брали, только в них вставляется полиэтиленовый вкладыш. Вкладыши бывают разной толщины, а также могут быть сделаны из первичного сырья - ""пищевые"" для пищевых продуктов или из вторичного сырья - для всего остального.",
Пленка ПВД рукав (1500*2) 200 мкм,,"7157,2",1,"Количество: 1 шт
Вес: 27 кг
Объем: 0.04 м",,
Пленка ПВД рукав (1500*2) 80 мкм,,"2877,9",1,"Количество: 1 шт
Вес: 11 кг
Объем: 0.022 м",,
Пленка ПВД рукав (1500*2)150 мкм,,"5730,7",1,"Количество: 1 шт
Вес: 22 кг
Объем: 0.034 м",,
Паста д /рук «Чистая звезда» 1200 мл  (банка),,"282,3",203,"Количество: 12 шт
Вес: 8.5 кг
Объем: 0.026 м",,
"Паста д/рук ""Чистая звезда"" 11л (ведро)",,"1788,6",58,"Количество: 1 шт
Вес: 7.28 кг
Объем: 0.018 м","Нейтральное средство для эффективной очистки и удаления масла, смазок, типографской краски, графита, плиточного клея, битума, сажи, антикоррозийных материалов, производственной пыли, грязи и других загрязнений с кожи руки.
Обладает антисептическим действием, не сушит кожу рук и не вызывает аллергических реакций.
Значительно экономичней мыла и других моющих средств.
Применяется на производстве, в автомастерских, быту и домашнем хозяйстве.
Производится по эксклюзивной рецептуре.",
"Паста д/рук ""Чистая звезда"" 200мл (туба)",,"103,1",120,"Количество: 30 шт
Вес: 5.135 кг
Объем: 0.012 м","Нейтральное средство для эффективной очистки и удаления масла, смазок, типографской краски, графита, плиточного клея, битума, сажи, антикоррозийных материалов, производственной пыли, грязи и других загрязнений с кожи руки.
Обладает антисептическим действием, не сушит кожу рук и не вызывает аллергических реакций.
Значительно экономичней мыла и других моющих средств.
Применяется на производстве, в автомастерских, быту и домашнем хозяйстве.
Производится по эксклюзивной рецептуре.",
"Воздушно-пузырчатая пленка 2 сл., пл.40(+/-5)гр.,10мм, ш.1,5м, (рул.100м. на втулке)",,"20,2",1700,"Количество: 100 шт
Вес: 5.25 кг
Объем: 0.7 м","2-х слойная пленка. 
Диаметр пузырька 10 мм. 
Марка плёнки 75
Длина 100м 
Ширина 1,5м",
"Комбинезон защитный одноразовый р.56-58, пл.30гр",,"97,4",35,"Количество: 1 шт
Вес: 0.0904 кг
Объем: 0.00126 м","Материал: Спанбонд 30 г/м2
Цвет: Белый
Защитные свойства: Защитный комбинезон ""Каспер"" является надежным средством для защиты одежды от попадания грязи и производственной пыли, защита от общих производственных загрязнений (З), пыли и распыляемой краски
Застежка ""молния"". Вшитая резинка на рукавах, брюках, на талии, на капюшоне.   ",
"Мешки для хранения колес (белые) 110*110см, 15мкрн. рулон на втулке 100шт.",,"978,3",11,"Количество: 1 шт
Вес: 3.1 кг
Объем: 0.007 м",Незаменимы при хранении и перевозке.Изготовлены из прочной полиэтиленовой пленки. Подходят для всех размеров и типов колес.,
"Накидка на автомобильное сиденье (1350*790мм, 10мкрн, рулон 500 шт.)",,2139,10,"Количество: 1 шт
Вес: 5.81 кг
Объем: 0.016 м",Полиэтиленовая накидка на сидения автомобиля,
